Name,IRAQ 5.8 01/15/28 CORP
BB ,EF230685 Corp
start,1/1/2006
end,7/3/2013
date,BLP_Z_SPRD_MID
2/19/2009,1150.253
2/20/2009,1164.268
2/23/2009,1149.296
2/24/2009,1145.227
2/25/2009,1121.812
2/26/2009,1112.71
2/27/2009,1105.563
3/2/2009,1112.102
3/3/2009,1109.618
3/4/2009,1084.523
3/5/2009,1102.243
3/6/2009,1094.14
3/9/2009,1051.035
3/10/2009,1034.324
3/11/2009,1020.059
3/12/2009,1007.873
3/13/2009,968.189
3/16/2009,955.648
3/17/2009,957.234
3/18/2009,1000.183
3/19/2009,997.138
3/20/2009,988.49
3/23/2009,982.224
3/24/2009,980.224
3/25/2009,976.553
3/26/2009,972.394
3/27/2009,976.848
3/30/2009,983.774
3/31/2009,979.349
4/1/2009,980.032
4/2/2009,976.748
4/3/2009,965.927
4/6/2009,961.942
4/7/2009,955.968
4/8/2009,957.984
4/9/2009,951.314
4/10/2009,953.573
4/13/2009,962.634
4/14/2009,937.67
4/15/2009,936.343
4/16/2009,929.009
4/17/2009,905.576
4/20/2009,902.179
4/21/2009,900.555
4/22/2009,893.139
4/23/2009,871.654
4/24/2009,867.488
4/27/2009,868.475
4/28/2009,866.496
4/29/2009,865.789
4/30/2009,855.603
5/1/2009,844.593
5/4/2009,844.607
5/5/2009,845.881
5/6/2009,834.885
5/7/2009,782.715
5/8/2009,765.931
5/11/2009,770.907
5/12/2009,772.248
5/13/2009,737.708
5/14/2009,728.677
5/15/2009,722.033
5/18/2009,729.732
5/19/2009,718.757
5/20/2009,717.626
5/21/2009,707.704
5/22/2009,683.902
5/25/2009,686.521
5/26/2009,680.551
5/27/2009,730.671
5/28/2009,711.633
5/29/2009,702.389
6/1/2009,642.622
6/2/2009,636.506
6/3/2009,648.27
6/4/2009,632.926
6/5/2009,602.718
6/8/2009,608.101
6/9/2009,596.698
6/10/2009,583.452
6/11/2009,581.389
6/12/2009,599.576
6/15/2009,605.839
6/16/2009,614.882
6/17/2009,631.732
6/18/2009,615.089
6/19/2009,624.273
6/22/2009,638.777
6/23/2009,656.138
6/24/2009,667.97
6/25/2009,678.608
6/26/2009,687.638
6/29/2009,688.591
6/30/2009,694.126
7/1/2009,684.662
7/2/2009,692.705
7/3/2009,689.315
7/6/2009,687.192
7/7/2009,690.711
7/8/2009,713.316
7/9/2009,710.131
7/10/2009,716.766
7/13/2009,716.244
7/14/2009,697.641
7/15/2009,683.021
7/16/2009,686.25
7/17/2009,679.969
7/20/2009,675.831
7/21/2009,684.187
7/22/2009,671.781
7/23/2009,636.424
7/24/2009,622.757
7/27/2009,612.454
7/28/2009,615.74
7/29/2009,621.298
7/30/2009,623.821
7/31/2009,632.283
8/3/2009,604.726
8/4/2009,596.199
8/5/2009,586.394
8/6/2009,576.086
8/7/2009,558.377
8/10/2009,567.234
8/11/2009,579.795
8/12/2009,581.299
8/13/2009,597.543
8/14/2009,604.242
8/17/2009,611.224
8/18/2009,605.537
8/19/2009,605.397
8/20/2009,605.323
8/21/2009,591.841
8/24/2009,585.546
8/25/2009,592.752
8/26/2009,603.032
8/27/2009,608.941
8/28/2009,610.845
8/31/2009,615.31
9/1/2009,617.114
9/2/2009,629.984
9/3/2009,631.701
9/4/2009,619.388
9/7/2009,619.702
9/8/2009,613.786
9/9/2009,603.065
9/10/2009,611.598
9/11/2009,607.437
9/14/2009,594.808
9/15/2009,565.599
9/16/2009,520.139
9/17/2009,514.782
9/18/2009,508.465
9/21/2009,504.817
9/22/2009,506.375
9/23/2009,500.323
9/24/2009,514.89
9/25/2009,523.491
9/28/2009,532.438
9/29/2009,528.083
